,loss,accuracy,val_loss,val_accuracy
0,0.975448511838913,0.4544000029563904,0.967959749698639,0.4259999990463257
1,0.8848270893096923,0.46380001306533813,0.9710793673992157,0.515999972820282
2,0.8204545414447785,0.5432000160217285,0.9159387350082397,0.4950000047683716
3,0.7904146111011505,0.5974000096321106,0.8444390714168548,0.5809999704360962
4,0.7386143970489502,0.623199999332428,0.7298823833465576,0.6499999761581421
5,0.719007956981659,0.6514000296592712,0.7291791141033173,0.6439999938011169
6,0.6950822126865387,0.6646000146865845,0.7425316512584687,0.6470000147819519
7,0.6603189158439636,0.6823999881744385,0.6346502125263214,0.7110000252723694
8,0.6425945144855905,0.6883767247200012,0.6917157351970673,0.6830000281333923
9,0.6229450124502182,0.7142000198364258,0.6875940203666687,0.6800000071525574
10,0.6366051137447357,0.7077999711036682,0.6281512916088104,0.7149999737739563
11,0.6002291357517242,0.7271999716758728,0.7351553738117218,0.6800000071525574
12,0.5678207248449325,0.7490000128746033,0.8565107405185699,0.6349999904632568
13,0.5739757078205178,0.7414829730987549,0.6376275300979615,0.7300000190734863
14,0.5430001765489578,0.7537999749183655,0.6464109063148499,0.7149999737739563
15,0.5152191317081452,0.7605999708175659,0.7571001470088958,0.6909999847412109
16,0.5644927781820297,0.7504000067710876,0.532923698425293,0.7590000033378601
17,0.5347490364313126,0.7544000148773193,0.5668301910161972,0.7559999823570251
18,0.4949971842765808,0.7817999720573425,0.6483214259147644,0.7149999737739563
19,0.5165481036901474,0.772599995136261,0.51635802090168,0.7739999890327454
20,0.497025249004364,0.7835999727249146,0.570623442530632,0.7630000114440918
21,0.4672529262304306,0.7986000180244446,0.5604451268911361,0.7599999904632568
22,0.45864306032657626,0.8037999868392944,0.49116674065589905,0.8100000023841858
23,0.4821500414609909,0.7915999889373779,0.4342238038778305,0.8080000281333923
24,0.4585908305644989,0.8014000058174133,0.5309396296739578,0.7730000019073486
25,0.44302749931812285,0.8068000078201294,0.7512585878372192,0.718999981880188
26,0.43722952134862453,0.8166332840919495,0.4435789257287979,0.8220000267028809
27,0.4356216311454773,0.8159999847412109,0.4672413170337677,0.8230000138282776
28,0.4377141124010086,0.8163999915122986,0.518774288892746,0.7889999747276306
29,0.42599487721920015,0.8169999718666077,0.4752545803785324,0.800000011920929
